calendarWeekOfYear,noncalendarWeekOfYear,yearQuarterMonthWeek,month,monthName,monthOfQuarter,monthYear,monthNameYear,yearQuarterMonth,termCode,bannerTermCode,termFrom1900,quarter,quarterName,quarterYear,quarterNameYear,yearQuarter,year,quarterMonthWeekDay,quarterMonthWeek
12,12,20001033,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103319,1033
12,12,20001033,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103320,1033
12,12,20001033,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103321,1033
12,12,20001034,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103422,1034
12,12,20001034,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103423,1034
12,12,20001034,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103424,1034
12,13,20001034,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103425,1034
13,13,20001034,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103426,1034
13,13,20001034,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103427,1034
13,13,20001034,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103428,1034
13,13,20001035,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103529,1035
13,13,20001035,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103530,1035
13,13,20001035,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103531,1035
13,14,20002041,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204101,2041
14,14,20002041,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204102,2041
14,14,20002041,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204103,2041
14,14,20002041,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204104,2041
14,14,20002041,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204105,2041
14,14,20002041,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204106,2041
14,14,20002041,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204107,2041
14,15,20002042,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204208,2042
15,15,20002042,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204209,2042
15,15,20002042,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204210,2042
15,15,20002042,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204211,2042
15,15,20002042,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204212,2042
15,15,20002042,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204213,2042
15,15,20002042,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204214,2042
15,16,20002043,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204315,2043
16,16,20002043,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204316,2043
16,16,20002043,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204317,2043
